City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Agadir,MA,30.4202,-9.5982,61.25,63,0,8.01,clear sky
296,Madimba,TZ,-10.4,40.3333,78.21,89,69,5.3,broken clouds
297,Nicoya,CR,10.1483,-85.452,85.55,39,20,12.48,few clouds
298,Puerto Baquerizo Moreno,EC,-0.9,-89.6,75.63,77,80,4.9,broken clouds
299,Karratha,AU,-20.7377,116.8463,84.02,63,84,7.49,broken clouds
300,Thai Binh,VN,20.45,106.3333,57.2,81,100,8.66,overcast clouds
301,Den Helder,NL,52.9599,4.7593,49.06,69,100,32.01,overcast clouds
302,Nanga Eboko,CM,4.6833,12.3667,75.72,24,100,1.83,overcast clouds
303,Ancud,CL,-41.8697,-73.8203,80.22,72,24,6.06,few clouds
304,Liverpool,GB,53.4106,-2.9779,48.15,90,40,10.36,scattered clouds
305,Vallenar,CL,-28.5708,-70.7581,84.87,25,0,10.65,clear sky
306,Mugan,CN,35.9404,101.3842,18.32,47,70,4.81,broken clouds
307,Hambantota,LK,6.1241,81.1185,75.99,81,100,11.3,overcast clouds
308,Belyy Yar,RU,53.6039,91.3903,-25.71,83,87,2.24,mist
309,Bintulu,MY,3.1667,113.0333,77.79,90,100,2.51,overcast clouds
310,Dakar,SN,14.6937,-17.4441,76.08,65,64,19.75,broken clouds
311,Samarai,PG,-10.6167,150.6667,80.15,75,32,5.86,scattered clouds
312,Sola,VU,-13.8833,167.55,82.11,77,100,18.77,overcast clouds
313,Deputatskiy,RU,69.3,139.9,-22.02,96,83,6.78,broken clouds
314,Price,US,39.5994,-110.8107,47.12,26,0,4.61,clear sky
315,Husavik,IS,66.0449,-17.3389,-4.09,80,71,14.05,broken clouds
316,Benguela,AO,-12.5763,13.4055,77.04,81,80,3.56,broken clouds
317,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.53,71,8,13.85,clear sky
318,West Plains,US,36.7281,-91.8524,47.88,36,0,13.8,clear sky
319,Manama,BH,26.2154,50.5832,62.58,72,0,10.36,clear sky
320,Kampene,CD,-3.6,26.6667,69.31,98,100,2.51,light rain
321,Bukama,CD,-9.2,25.85,69.51,97,100,2.21,moderate rain
322,Klaksvik,FO,62.2266,-6.589,34.72,66,100,30.33,overcast clouds
323,Khurda,IN,20.1833,85.6167,58.91,60,16,1.39,few clouds
324,Wanning,CN,18.8003,110.3967,69.31,91,100,11.88,overcast clouds
325,Warragul,AU,-38.1667,145.9333,67.05,81,46,1.01,scattered clouds
326,Mercedes,AR,-34.6515,-59.4307,81.52,24,0,11.01,clear sky
327,Brae,GB,60.3964,-1.353,39.11,88,100,11.25,overcast clouds
328,Pucallpa,PE,-8.3791,-74.5539,86.04,66,75,6.91,heavy intensity rain
